,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
230,SOHO,Sotherly Hotels Inc.,56.46M,-,26992,173.03M
231,LOAN,"Manhattan Bridge Capital, Inc.",54.79M,1.27%,22320,9.80M
232,WETH,Wetouch Technology Inc.,52.80M,-2.63%,221588,39.88M
233,LRE,"Lead Real Estate Co., Ltd",51.29M,1.08%,1948,117.03M
234,SELF,"Global Self Storage, Inc.",47.02M,2.62%,76999,12.27M
235,LODE,Comstock Inc.,46.33M,-1.75%,485142,1.27M
236,CHCI,"Comstock Holding Companies, Inc.",45.07M,-1.27%,1922,43.01M
237,FTHM,Fathom Holdings Inc.,44.65M,-12.20%,228399,354.59M
238,RFL,"Rafael Holdings, Inc.",42.53M,0.58%,18699,275.00K
239,LRHC,La Rosa Holding Corp.,25.25M,6.90%,14428,26.32M
240,OMH,Ohmyhome Limited,23.23M,-,115890,4.34M
241,GIPR,"Generation Income Properties, Inc.",20.54M,-2.90%,37052,5.91M
242,GYRO,"Gyrodyne, LLC",18.21M,-,2,-
243,LEJU,Leju Holdings Limited,17.92M,-0.38%,2287,332.27M
244,SQFT,"Presidio Property Trust, Inc.",16.89M,4.42%,20438,17.63M
245,NYC,American Strategic Investment Co,16.74M,4.98%,1600,63.53M
246,XIN,"Xinyuan Real Estate Co., Ltd.",15.92M,-,2047,754.13M
247,MDJH,MDJM Ltd,14.36M,7.89%,3505,29.45K
248,MDRR,"Medalist Diversified REIT, Inc.",13.71M,3.20%,10368,10.27M
249,IHT,InnSuites Hospitality Trust,12.88M,-3.38%,553,7.39M
250,AEI,Alset EHome International Inc.,12.33M,-8.29%,82666,21.95M
251,WHLR,"Wheeler Real Estate Investment Trust, Inc.",11.91M,-8.63%,317965,102.33M
252,SGD,Safe and Green Development Corporation,10.77M,-6.91%,456443,-
253,GBR,"New Concept Energy, Inc.",5.34M,1.96%,8880,172.00K
254,TPHS,Trinity Place Holdings Inc.,5.16M,-36.22%,711854,42.33M
255,GGE,Green Giant Inc.,4.86M,3.04%,4032482,1.80M
256,ALBT,Avalon GloboCare Corp.,4.17M,-8.11%,78558,1.23M
257,VINO,"Gaucho Group Holdings, Inc.",3.99M,-11.39%,64503,1.99M
258,DUO,Fangdd Network Group Ltd.,2.31M,-8.52%,361365,35.17M
259,PW,Power REIT,2.03M,-0.05%,6757,4.00M
260,UK,Ucommune International Ltd,1.80M,-2.85%,112909,87.50M
