,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
186,CMCL,Caledonia Mining Corporation Plc,218.05M,8.50%,135906,141.83M
187,NMG,Nouveau Monde Graphite Inc.,214.62M,-0.43%,138876,-
188,SMID,Smith-Midland Corporation,210.98M,15.28%,20061,57.68M
189,ODV,Osisko Development Corp.,210.88M,-9.76%,189882,32.55M
190,SLI,Standard Lithium Ltd.,209.45M,1.69%,1543844,-
191,EMX,EMX Royalty Corporation,194.16M,3.59%,202151,12.48M
192,USAP,"Universal Stainless & Alloy Products, Inc.",191.85M,2.28%,144253,262.36M
193,DC,Dakota Gold Corp.,184.76M,0.47%,1028398,-
194,NAK,Northern Dynasty Minerals Ltd.,177.54M,2.23%,1336725,-
195,NEWP,New Pacific Metals Corp.,176.34M,-,208284,-
196,TSE,Trinseo PLC,167.15M,1.46%,1359924,3.68B
197,GLDG,GoldMining Inc.,161.58M,3.02%,532897,-
198,GEVO,"Gevo, Inc.",161.45M,2.30%,7911372,17.20M
199,CMT,"Core Molding Technologies, Inc.",159.17M,1.10%,107800,357.74M
200,ATLX,Atlas Lithium Corporation,151.79M,-1.41%,80376,620.00
201,NWGL,Nature Wood Group Limited,151.60M,-1.94%,1193,55.34M
202,AMLI,American Lithium Corp.,150.65M,-5.48%,682388,-
203,ALTO,"Alto Ingredients, Inc.",149.88M,-1.00%,879208,1.22B
204,THM,International Tower Hill Mines Ltd.,140.06M,-1.69%,121887,-
205,DNMR,"Danimer Scientific, Inc.",135.20M,-1.46%,1220721,51.06M
206,NTIC,Northern Technologies International Corporation,131.70M,-0.71%,8443,80.13M
207,AREC,American Resources Corporation,128.36M,-,174645,21.36M
208,LOOP,"Loop Industries, Inc.",127.85M,-1.82%,8890,119.49K
209,FRD,"Friedman Industries, Incorporated",123.20M,-0.34%,18262,508.21M
210,PLG,Platinum Group Metals Ltd.,119.90M,2.63%,115561,-
211,LGO,Largo Inc.,114.74M,-1.65%,16402,202.02M
212,TRX,TRX Gold Corporation,109.83M,-,172093,38.01M
213,ACNT,Ascent Industries Co.,106.82M,1.90%,15394,280.79M
214,ABAT,American Battery Technology Company,104.29M,-7.80%,471590,-
215,IDR,"Idaho Strategic Resources, Inc.",98.91M,4.87%,31817,13.31M
216,VOXR,Vox Royalty Corp.,95.23M,-,74447,12.31M
217,NB,NioCorp Developments Ltd.,92.46M,-3.69%,52401,-
218,GLT,Glatfelter Corporation,83.97M,-4.84%,1072040,1.39B
219,FEAM,5E Advanced Materials Inc.,81.64M,2.33%,555118,-
220,ORGN,"Origin Materials, Inc.",75.48M,6.10%,2089765,28.81M
221,ASM,Avino Silver & Gold Mines Ltd.,75.11M,5.14%,676976,46.01M
222,TMQ,Trilogy Metals Inc.,74.76M,-0.64%,384927,-
223,ITRG,Integra Resources Corp.,67.15M,-5.24%,82677,-
224,USGO,U.S. GoldMining Inc.,64.97M,2.75%,3253,-
225,VGZ,Vista Gold Corp.,64.40M,8.44%,723204,-
226,FURY,Fury Gold Mines Limited,58.80M,0.05%,380036,-
227,HYMC,Hycroft Mining Holding Corporation,50.33M,6.87%,144244,-
228,USAS,Americas Gold and Silver Corporation,45.28M,-6.01%,14836060,84.89M
229,CGA,"China Green Agriculture, Inc.",43.67M,-2.85%,1111,112.20M
230,BHIL,"Benson Hill, Inc.",40.43M,10.82%,1569099,473.34M
231,HUDI,"Huadi International Group Co., Ltd.",39.34M,2.57%,22923,84.33M
232,XPL,Solitario Zinc Corp.,36.26M,-5.21%,386011,-
233,HGAS,Global Gas Corporation,35.20M,-24.64%,119425,-
234,GORO,Gold Resource Corporation,34.06M,8.41%,813756,108.96M
235,USAU,U.S. Gold Corp.,33.22M,-3.26%,29819,-
236,EVA,Enviva Inc.,30.97M,-16.17%,6227593,1.13B
237,ELBM,Electra Battery Materials Corporation,29.08M,-3.85%,127434,-
238,BYU,"BAIYU Holdings, Inc.",27.07M,-,20464,120.11M
239,WWR,"Westwater Resources, Inc.",25.77M,0.02%,186003,-
240,UAMY,United States Antimony Corporation,25.51M,-3.27%,107997,8.45M
241,PZG,Paramount Gold Nevada Corp.,24.50M,5.74%,163336,-
242,FSI,"Flexible Solutions International, Inc.",24.37M,3.16%,8898,41.11M
243,ZKIN,"ZK International Group Co., Ltd.",20.67M,-0.74%,8614,109.16M
244,GRFX,Graphex Group Limited,20.21M,-2.26%,9400,42.01M
245,AAU,Almaden Minerals Ltd.,19.22M,-0.78%,134073,-
246,INHD,Inno Holdings Inc.,19.11M,-3.08%,24043,657.36K
247,JCTCF,Jewett-Cameron Trading Company Ltd.,18.89M,-4.60%,1718,51.52M
248,SEED,Origin Agritech Limited,18.50M,-4.56%,43413,12.83M
249,LITM,Snow Lake Resources Ltd.,18.29M,0.11%,61534,-
250,AUST,Austin Gold Corp.,17.92M,-2.22%,399485,-
251,HLP,Hongli Group Inc.,14.97M,-9.02%,26473,18.71M
252,GURE,"Gulf Resources, Inc.",12.83M,-1.60%,9903,41.76M
253,RETO,"ReTo Eco-Solutions, Inc.",7.42M,2.59%,20496,4.82M
254,CNEY,CN Energy Group. Inc.,6.22M,-2.54%,25628,57.90M
255,AUMN,Golden Minerals Company,4.44M,-2.78%,354542,16.29M
256,SVFD,"Save Foods, Inc.",4.20M,-4.05%,31128,381.68K
257,SNES,"SenesTech, Inc.",4.06M,-3.91%,93498,1.19M
258,YTEN,"Yield10 Bioscience, Inc.",3.09M,-3.94%,185312,147.00K
259,RKDA,"Arcadia Biosciences, Inc.",2.83M,-0.39%,2412,5.50M
260,ITP,"IT Tech Packaging, Inc.",2.82M,-6.67%,21841,86.96M
261,CRKN,Crown ElectroKinetics Corp.,1.90M,-6.81%,3318005,59.00K
