,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
170,BRID,Bridgford Foods Corporation,98.39M,0.84%,1016,244.86M
171,LFVN,LifeVantage Corporation,90.08M,1.60%,19296,210.95M
172,VFF,"Village Farms International, Inc.",81.11M,6.62%,1208658,285.60M
173,AXIL,AXIL Brands Inc.,79.03M,0.32%,6006,27.08M
174,DTCK,Davis Commodities Limited,78.56M,6.25%,30452,206.72M
175,SKIL,Skillsoft Corp.,76.96M,-11.95%,79785,-
176,ZVIA,Zevia PBC,76.79M,-,176956,166.42M
177,FARM,Farmer Bros. Co.,68.70M,-4.40%,83446,381.07M
178,GROV,"Grove Collaborative Holdings, Inc.",65.54M,10.29%,146412,273.46M
179,BEDU,Bright Scholar Education Holdings Limited,64.51M,0.46%,2171,-
180,ATPC,Agape ATP Corporation,59.37M,-3.77%,7728,1.43M
181,AIU,Meta Data Limited,57.72M,4.01%,10349,32.43M
182,AACG,ATA Creativity Global,49.58M,-1.93%,52015,29.79M
183,GNS,Genius Group Limited,38.71M,5.74%,14746045,22.55M
184,LXEH,"Lixiang Education Holding Co., Ltd.",35.93M,-0.55%,675055,7.24M
185,COE,51 Talk Online Education Group,35.67M,-3.96%,2798,24.69M
186,UG,"United-Guardian, Inc.",35.57M,1.31%,12642,11.04M
187,NAII,"Natural Alternatives International, Inc.",34.76M,-1.22%,2273,127.76M
188,TWOU,"2U, Inc.",30.61M,3.65%,3577595,945.95M
189,LSF,"Laird Superfood, Inc.",30.22M,34.31%,1903119,34.22M
190,BTOG,Bit Origin Limited,29.30M,-2.37%,85183,6.26M
191,AAGR,African Agriculture Holdings Inc.,28.35M,-12.45%,581177,1.65M
192,YQ,17 Education & Technology Group Inc.,28.23M,-1.69%,1364,22.44M
193,WVVI,"Willamette Valley Vineyards, Inc.",24.87M,-1.38%,5743,39.77M
194,DDC,DDC Enterprise Limited,24.76M,8.33%,20894,28.10M
195,MSS,Maison Solutions Inc.,24.22M,-2.38%,137131,57.34M
196,VWE,"Vintage Wine Estates, Inc.",23.96M,-,188160,268.01M
197,YGF,"YanGuFang International Group Co., Ltd.",23.47M,-,4097,36.08M
198,RMCF,"Rocky Mountain Chocolate Factory, Inc.",22.79M,-2.99%,7430,26.30M
199,LOCL,Local Bounti Corporation,22.66M,-6.20%,9240,27.33M
200,SBEV,"Splash Beverage Group, Inc.",21.52M,-1.88%,113313,20.95M
201,FEDU,Four Seasons Education (Cayman) Inc.,21.27M,-8.52%,343,11.33M
202,PLAG,Planet Green Holdings Corp.,20.23M,-3.21%,7260,24.26M
203,SANW,S&W Seed Company,19.61M,7.25%,53153,68.01M
204,SDOT,Sadot Group Inc.,17.68M,-2.85%,270286,708.48M
205,TCTM,TCTM Kids IT Education Inc.,17.14M,5.39%,58868,293.63M
