,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
194,CCLP,CSI Compressco LP,317.77M,-0.89%,245445,386.13M
195,UROY,Uranium Royalty Corp.,296.51M,3.81%,1861609,21.29M
196,SJT,San Juan Basin Royalty Trust,263.34M,-1.06%,211128,78.31M
197,RNGR,"Ranger Energy Services, Inc.",262.43M,3.49%,148065,636.60M
198,BROG,Brooge Energy Limited,256.44M,4.93%,1613,-
199,AMPY,Amplify Energy Corp.,238.80M,-0.33%,685978,307.60M
200,HNRG,Hallador Energy Company,228.15M,-10.41%,1051407,634.48M
201,FET,"Forum Energy Technologies, Inc.",227.62M,-1.78%,59873,738.86M
202,NGS,"Natural Gas Services Group, Inc.",218.77M,-0.85%,87717,108.77M
203,NC,"NACCO Industries, Inc.",217.45M,-0.62%,42967,214.79M
204,GTE,Gran Tierra Energy Inc.,201.54M,1.79%,595864,636.96M
205,EPM,Evolution Petroleum Corporation,200.74M,1.87%,393177,96.67M
206,SMLP,"Summit Midstream Partners, LP",191.44M,-9.34%,124978,458.90M
207,PNRG,PrimeEnergy Resources Corporation,184.77M,3.25%,3663,111.14M
208,GEOS,Geospace Technologies Corporation,166.33M,-1.34%,75099,143.43M
209,EP,Empire Petroleum Corporation,144.76M,-1.77%,83592,37.42M
210,KGEI,Kolibri Global Energy Inc.,129.32M,0.83%,9295,-
211,AMTX,"Aemetis, Inc.",126.42M,-3.13%,573200,182.69M
212,KLXE,"KLX Energy Services Holdings, Inc.",122.57M,3.97%,405822,888.40M
213,VTNR,"Vertex Energy, Inc.",115.02M,2.50%,3334361,3.18B
214,PHX,PHX Minerals Inc.,114.19M,1.67%,64748,44.46M
215,FTK,"Flotek Industries, Inc.",113.91M,5.49%,164113,188.06M
216,EPSN,Epsilon Energy Ltd.,109.69M,-0.40%,54838,37.38M
217,VOC,VOC Energy Trust,104.21M,0.66%,17557,19.14M
218,CRT,Cross Timbers Royalty Trust,102.66M,-0.98%,16334,12.71M
219,MMLP,Martin Midstream Partners L.P.,101.79M,0.38%,52329,797.96M
220,DLNG,Dynagas LNG Partners LP,99.37M,-1.82%,79250,158.59M
221,BATL,Battalion Oil Corporation,97.42M,0.51%,34359,250.32M
222,DTI,Drilling Tools International Corp.,89.90M,-4.61%,16831,-
223,SND,"Smart Sand, Inc.",81.93M,1.87%,165800,295.97M
224,IMPP,Imperial Petroleum Inc.,79.88M,-2.83%,332321,183.73M
225,PFIE,"Profire Energy, Inc.",78.18M,-5.14%,237128,58.21M
226,SLNG,"Stabilis Solutions, Inc.",76.38M,0.24%,5919,73.11M
227,NINE,"Nine Energy Service, Inc.",75.60M,0.94%,485542,609.53M
228,PED,PEDEVCO Corp.,68.74M,-0.28%,47355,29.97M
229,AE,"Adams Resources & Energy, Inc.",62.91M,-2.08%,20336,2.75B
230,PRT,PermRock Royalty Trust,54.62M,1.13%,38139,9.03M
231,BPT,BP Prudhoe Bay Royalty Trust,49.97M,4.80%,201115,22.11M
232,NRT,North European Oil Royalty Trust,49.54M,0.19%,31017,12.68M
233,PVL,Permianville Royalty Trust,46.53M,-0.70%,31212,15.17M
234,DWSN,Dawson Geophysical Company,44.99M,5.04%,1814,87.25M
235,NCSM,"NCS Multistage Holdings, Inc.",37.90M,-1.65%,7657,142.47M
236,SDPI,"Superior Drilling Products, Inc.",27.93M,2.30%,75073,21.95M
237,CKX,"CKX Lands, Inc.",27.13M,3.51%,2016,1.08M
238,BANL,CBL International Limited,26.25M,0.98%,9734,419.17M
239,ICD,"Independence Contract Drilling, Inc.",26.11M,-1.72%,20308,210.11M
240,USEG,U.S. Energy Corp.,25.76M,-,12913,35.37M
241,BRN,"Barnwell Industries, Inc.",23.87M,-0.84%,7283,23.91M
242,INDO,Indonesia Energy Corporation Limited,22.72M,6.16%,44785,3.61M
243,CEI,"Camber Energy, Inc.",22.58M,-2.86%,1484064,10.35M
244,VIVK,"Vivakor, Inc.",22.05M,-10.55%,61095,61.79M
245,MXC,Mexco Energy Corporation,21.69M,-1.43%,3011,7.01M
246,RCON,"Recon Technology, Ltd.",20.74M,1.60%,51777,9.27M
247,MTR,Mesa Royalty Trust,19.05M,1.18%,3898,4.13M
248,HUSA,Houston American Energy Corp.,14.51M,-,127948,872.18K
249,MARPS,Marine Petroleum Trust,8.04M,-1.72%,3459,1.18M
250,ENSV,Enservco Corporation,5.07M,-3.53%,129397,22.08M
251,TPET,Trio Petroleum Corp.,3.35M,-3.01%,536472,-
