,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
174,WEN,The Wendy's Company,3.77B,0.44%,5149876,2.18B
175,ZGN,Ermenegildo Zegna N.V.,3.70B,-0.34%,555710,1.83B
176,GPI,"Group 1 Automotive, Inc.",3.65B,1.35%,94145,17.87B
177,GT,The Goodyear Tire & Rubber Company,3.55B,-,3314160,20.07B
178,VAC,Marriott Vacations Worldwide Corporation,3.47B,0.89%,491310,4.73B
179,MHO,"M/I Homes, Inc.",3.41B,-0.35%,280836,4.03B
180,DFH,"Dream Finders Homes, Inc.",3.31B,-5.81%,701136,3.75B
181,PSNY,Polestar Automotive Holding UK PLC,3.29B,4.49%,1942731,2.83B
182,KTB,"Kontoor Brands, Inc.",3.29B,-0.66%,1226185,2.61B
183,PRKS,United Parks & Resorts Inc.,3.28B,1.40%,727437,1.73B
184,TPH,"Tri Pointe Homes, Inc.",3.28B,1.81%,3409931,3.72B
185,TNL,Travel + Leisure Co.,3.23B,1.63%,465493,3.75B
186,YETI,"YETI Holdings, Inc.",3.22B,-0.30%,1014579,1.66B
187,MLCO,Melco Resorts & Entertainment Limited,3.17B,-1.37%,1911720,3.78B
188,CVCO,"Cavco Industries, Inc.",3.15B,3.09%,180029,1.85B
189,CRI,"Carter's, Inc.",3.14B,1.20%,2204508,2.95B
190,VC,Visteon Corporation,3.10B,-0.54%,401619,3.95B
191,SHOO,"Steven Madden, Ltd.",3.08B,0.02%,4625570,1.98B
192,UA,"Under Armour, Inc.",3.07B,-0.57%,6125660,5.77B
193,UAA,"Under Armour, Inc.",3.07B,-1.11%,10022858,5.77B
194,GEF.B,"Greif, Inc.",3.03B,1.48%,15449,5.15B
195,GEF,"Greif, Inc.",3.03B,0.97%,350960,5.15B
196,SVV,"Savers Value Village, Inc.",2.99B,-1.87%,854914,1.50B
197,ADNT,Adient plc,2.98B,0.18%,1205919,15.36B
198,ACVA,ACV Auctions Inc.,2.90B,1.90%,1257631,481.23M
199,AIN,Albany International Corp.,2.88B,0.77%,155100,1.15B
200,JWN,"Nordstrom, Inc.",2.86B,-1.76%,3610631,14.59B
201,QS,QuantumScape Corporation,2.84B,1.97%,3565279,-
202,LTH,"Life Time Group Holdings, Inc.",2.82B,-1.60%,628676,2.22B
203,DORM,"Dorman Products, Inc.",2.81B,-0.01%,220829,1.93B
204,VSTS,Vestis Corporation,2.80B,-1.98%,3400228,-
205,CCS,"Century Communities, Inc.",2.80B,1.71%,1043527,3.69B
206,KSS,Kohl's Corporation,2.78B,-1.27%,4349729,17.54B
207,LCII,LCI Industries,2.76B,2.79%,333771,3.78B
208,PENN,"PENN Entertainment, Inc.",2.69B,-2.86%,5836502,6.36B
209,ATAT,Atour Lifestyle Holdings Limited,2.67B,-0.15%,2472425,520.90M
210,ZKH,ZKH Group Limited,2.63B,-0.85%,45489,1.16B
211,BOOT,"Boot Barn Holdings, Inc.",2.63B,0.17%,498215,1.70B
212,MODG,Topgolf Callaway Brands Corp.,2.55B,3.81%,2401944,4.28B
213,PATK,"Patrick Industries, Inc.",2.52B,2.10%,746854,3.47B
214,LGIH,"LGI Homes, Inc.",2.52B,-1.23%,384539,2.36B
215,LEG,"Leggett & Platt, Incorporated",2.49B,0.43%,1815317,4.73B
216,BLMN,"Bloomin' Brands, Inc.",2.48B,-0.70%,1363384,4.67B
217,GRBK,"Green Brick Partners, Inc.",2.44B,1.19%,386901,1.78B
218,SG,"Sweetgreen, Inc.",2.44B,2.69%,1865619,584.04M
219,FTDR,"Frontdoor, Inc.",2.40B,0.79%,1202360,1.78B
220,OI,"O-I Glass, Inc.",2.39B,2.03%,1488476,7.11B
221,ARCO,Arcos Dorados Holdings Inc.,2.39B,-3.81%,1402733,4.33B
222,DRVN,Driven Brands Holdings Inc.,2.39B,1.89%,1041979,2.30B
223,PTVE,Pactiv Evergreen Inc.,2.34B,0.15%,461838,5.51B
224,MBC,"MasterBrand, Inc.",2.28B,1.01%,2814215,2.73B
225,PZZA,"Papa John's International, Inc.",2.28B,0.81%,720796,2.14B
226,GTX,Garrett Motion Inc.,2.26B,-1.86%,1048168,3.89B
227,MCW,"Mister Car Wash, Inc.",2.24B,3.52%,1018315,927.07M
228,FUN,"Cedar Fair, L.P.",2.20B,0.28%,161593,1.80B
229,ARHS,"Arhaus, Inc.",2.20B,-2.80%,1666795,1.29B
230,MLKN,"MillerKnoll, Inc.",2.18B,1.60%,4412646,3.81B
231,SIX,Six Flags Entertainment Corporation,2.17B,0.39%,1039950,1.43B
232,FL,"Foot Locker, Inc.",2.16B,-1.88%,4281568,8.13B
233,EAT,"Brinker International, Inc.",2.12B,0.86%,1160195,4.25B
234,HBI,Hanesbrands Inc.,2.00B,6.77%,78756942,5.64B
235,AMBP,Ardagh Metal Packaging S.A.,2.00B,3.89%,790393,4.81B
236,FOXF,Fox Factory Holding Corp.,1.96B,-1.02%,696657,1.46B
237,BKE,"The Buckle, Inc.",1.96B,3.11%,663937,1.28B
238,WGO,"Winnebago Industries, Inc.",1.90B,3.16%,1510959,3.30B
239,ODP,The ODP Corporation,1.87B,1.59%,1108059,7.83B
240,VSTO,Vista Outdoor Inc.,1.86B,0.22%,632112,2.79B
241,CAKE,The Cheesecake Factory Incorporated,1.83B,-0.56%,810846,3.44B
242,SAH,"Sonic Automotive, Inc.",1.79B,1.85%,340851,14.37B
243,EYE,"National Vision Holdings, Inc.",1.79B,0.18%,1116653,2.13B
244,KAR,Openlane Inc.,1.73B,2.37%,607916,1.65B
245,THRM,Gentherm Incorporated,1.71B,0.43%,272397,1.47B
246,PHIN,PHINIA Inc.,1.70B,-1.47%,1791774,3.50B
247,SGHC,Super Group (SGHC) Limited,1.69B,1.18%,430158,1.49B
248,DAN,Dana Incorporated,1.68B,0.61%,1146840,10.56B
249,OXM,"Oxford Industries, Inc.",1.66B,1.22%,236153,1.55B
250,CNNE,"Cannae Holdings, Inc.",1.59B,0.14%,466068,570.00M
251,PTON,"Peloton Interactive, Inc.",1.58B,-0.69%,10405074,2.73B
252,LZB,La-Z-Boy Incorporated,1.56B,1.33%,731633,2.05B
253,BYON,"Beyond, Inc.",1.54B,-2.05%,884437,1.56B
254,VSCO,Victoria's Secret & Co.,1.50B,-3.22%,3321165,6.12B
255,AMWD,American Woodmark Corporation,1.50B,1.65%,350310,1.88B
256,CBRL,"Cracker Barrel Old Country Store, Inc.",1.49B,-0.43%,673807,3.43B
257,RVLV,"Revolve Group, Inc.",1.49B,0.77%,794711,1.07B
258,FWRG,"First Watch Restaurant Group, Inc.",1.45B,1.36%,742754,891.55M
259,JACK,Jack in the Box Inc.,1.43B,-1.36%,680114,1.65B
260,CAL,"Caleres, Inc.",1.38B,1.72%,513330,2.82B
261,GES,"Guess', Inc.",1.36B,-1.18%,493951,2.70B
262,MCRI,"Monarch Casino & Resort, Inc.",1.34B,-0.63%,669848,501.48M
263,XPEL,"XPEL, Inc.",1.34B,0.23%,277246,396.29M
264,LVWR,"LiveWire Group, Inc.",1.34B,-7.88%,65730,38.02M
265,LESL,"Leslie's, Inc.",1.32B,5.99%,4277325,1.43B
266,RSI,"Rush Street Interactive, Inc.",1.30B,-0.34%,870577,691.16M
267,PLYA,Playa Hotels & Resorts N.V.,1.29B,-1.16%,1081827,977.50M
268,OSW,OneSpaWorld Holdings Limited,1.29B,-0.08%,706548,794.05M
269,NWTN,NWTN Inc.,1.26B,-10.86%,47863,583.00K
270,MSC,Studio City International Holdings Limited,1.25B,-,2003,445.54M
271,SBH,"Sally Beauty Holdings, Inc.",1.24B,0.08%,1495969,3.70B
272,WINA,Winmark Corporation,1.24B,-1.60%,27787,83.24M
273,GOOS,Canada Goose Holdings Inc.,1.20B,-1.27%,1480083,954.14M
274,GIII,"G-III Apparel Group, Ltd.",1.20B,-1.80%,2882011,3.19B
275,CWH,"Camping World Holdings, Inc.",1.17B,1.25%,992386,6.23B
276,EXTO,Almacenes Éxito S.A.,1.13B,-,81406,5.45B
277,OLPX,"Olaplex Holdings, Inc.",1.12B,10.59%,8301698,458.30M
278,KRUS,"Kura Sushi USA, Inc.",1.12B,1.52%,70491,199.59M
279,CARS,Cars.com Inc.,1.09B,-2.13%,1312482,689.18M
280,BLBD,Blue Bird Corporation,1.02B,-0.75%,551273,1.21B
281,TRS,TriMas Corporation,1.02B,1.38%,238251,893.55M
282,GDEN,"Golden Entertainment, Inc.",973.47M,0.80%,306586,1.05B
283,NGMS,NeoGames S.A.,971.96M,0.35%,21594,191.54M
284,SHCO,Soho House & Co Inc.,969.23M,-13.57%,511089,1.12B
285,ACEL,"Accel Entertainment, Inc.",950.33M,0.53%,328009,1.17B
286,BZH,"Beazer Homes USA, Inc.",933.41M,-0.50%,255062,2.15B
287,SCVL,"Shoe Carnival, Inc.",884.22M,1.81%,392214,1.19B
288,TILE,"Interface, Inc.",881.16M,1.20%,1299961,1.26B
289,MNRO,"Monro, Inc.",877.33M,3.20%,1513292,1.28B
290,FIGS,"FIGS, Inc.",854.65M,1.21%,3924913,545.65M
291,HOV,"Hovnanian Enterprises, Inc.",837.05M,-3.82%,76852,2.83B
292,ETD,Ethan Allen Interiors Inc.,824.73M,0.40%,251664,704.86M
293,BJRI,"BJ's Restaurants, Inc.",819.48M,0.06%,494815,1.33B
294,WWW,"Wolverine World Wide, Inc.",809.42M,1.40%,2069828,2.24B
