,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
309,ALGT,Allegiant Travel Company,1.24B,0.84%,596213,2.51B
310,CMCO,Columbus McKinnon Corporation,1.20B,1.61%,140064,1.00B
311,VSEC,VSE Corporation,1.20B,0.69%,135843,860.49M
312,NX,Quanex Building Products Corporation,1.19B,2.77%,162522,1.11B
313,ARLO,"Arlo Technologies, Inc.",1.18B,1.32%,1243758,491.18M
314,ASPN,"Aspen Aerogels, Inc.",1.17B,0.07%,937612,238.72M
315,MEG,"Montrose Environmental Group, Inc.",1.15B,-2.29%,248734,624.21M
316,ZIP,"ZipRecruiter, Inc.",1.14B,-8.05%,823586,645.72M
317,ZIM,ZIM Integrated Shipping Services Ltd.,1.14B,1.72%,6060455,5.16B
318,AMRC,"Ameresco, Inc.",1.11B,5.30%,1026671,1.37B
319,RYI,Ryerson Holding Corporation,1.06B,2.29%,209311,5.11B
320,TDCX,TDCX Inc.,1.04B,0.56%,431300,498.75M
321,TGI,"Triumph Group, Inc.",1.04B,-0.29%,407232,1.36B
322,THR,"Thermon Group Holdings, Inc.",1.03B,5.70%,256997,489.46M
323,SP,SP Plus Corporation,1.02B,-0.06%,122738,1.78B
324,BXC,BlueLinx Holdings Inc.,1.01B,0.31%,67910,3.14B
325,HY,"Hyster-Yale Materials Handling, Inc.",1.01B,1.23%,65177,4.12B
326,TRNS,"Transcat, Inc.",991.07M,-,61426,250.64M
327,CRAI,"CRA International, Inc.",987.37M,0.36%,56576,623.98M
328,CPLP,Capital Product Partners L.P.,981.90M,-1.71%,50610,360.59M
329,GRC,The Gorman-Rupp Company,969.55M,1.48%,64787,659.51M
330,REVG,"REV Group, Inc.",964.13M,-,1209920,2.64B
331,BV,"BrightView Holdings, Inc.",962.88M,-,764877,2.79B
332,ECO,Okeanis Eco Tankers Corp.,956.81M,3.84%,169018,413.10M
333,HRT,HireRight Holdings Corporation,956.41M,-0.21%,210845,721.88M
334,HTLD,"Heartland Express, Inc.",929.63M,-1.59%,523207,1.21B
335,EH,EHang Holdings Limited,928.23M,12.93%,3260711,16.56M
336,AZUL,Azul S.A.,926.28M,5.96%,1537340,3.01B
337,ASTE,"Astec Industries, Inc.",924.29M,1.50%,377408,1.34B
338,TWI,"Titan International, Inc.",902.16M,1.31%,300004,1.82B
339,TH,Target Hospitality Corp.,895.63M,-0.45%,798261,563.61M
340,ULH,"Universal Logistics Holdings, Inc.",886.96M,1.58%,49469,1.66B
341,MATW,Matthews International Corporation,884.87M,3.82%,481371,1.88B
342,PCT,"PureCycle Technologies, Inc.",877.55M,2.69%,2595977,-
343,PRLB,"Proto Labs, Inc.",876.86M,0.41%,140708,503.88M
344,GNK,Genco Shipping & Trading Limited,875.55M,-0.34%,791030,383.83M
345,FWRD,Forward Air Corporation,862.63M,-1.20%,3724879,1.37B
346,SKYH,Sky Harbour Group Corporation,861.96M,-0.54%,124543,5.95M
347,KELYB,"Kelly Services, Inc.",860.35M,2.35%,5,4.84B
348,KELYA,"Kelly Services, Inc.",860.03M,2.43%,1136306,4.84B
349,NKLA,Nikola Corporation,859.87M,7.30%,77304666,35.84M
350,NAT,Nordic American Tankers Limited,847.71M,-,3471092,339.34M
351,ERII,"Energy Recovery, Inc.",845.90M,4.59%,1514676,128.35M
352,KRNT,Kornit Digital Ltd.,840.45M,-0.29%,156377,219.79M
353,BLDP,Ballard Power Systems Inc.,837.89M,1.83%,3661004,102.37M
354,VLRS,"Controladora Vuela Compañía de Aviación, SAB de CV",829.32M,-1.53%,507471,2.85B
355,SPLP,Steel Partners Holdings L.P.,828.76M,2.58%,48180,1.91B
356,XMTR,"Xometry, Inc.",821.94M,-2.84%,588756,463.41M
357,RGR,"Sturm, Ruger & Company, Inc.",810.43M,1.55%,216292,543.77M
358,ATSG,"Air Transport Services Group, Inc.",805.93M,-1.22%,1136242,2.07B
359,SWBI,"Smith & Wesson Brands, Inc.",798.36M,1.04%,749063,521.46M
360,DXPE,"DXP Enterprises, Inc.",785.88M,-0.39%,360999,1.68B
361,BBSI,"Barrett Business Services, Inc.",781.99M,0.53%,65107,1.07B
362,VVI,Viad Corp,772.24M,3.09%,118714,1.24B
363,HAYN,"Haynes International, Inc.",759.31M,-0.30%,245032,604.64M
364,CECO,CECO Environmental Corp.,752.08M,-2.02%,268603,544.85M
365,CYRX,"Cryoport, Inc.",743.48M,3.05%,863665,233.26M
366,DCO,Ducommun Incorporated,735.72M,-0.16%,64506,756.99M
367,OFLX,"Omega Flex, Inc.",734.46M,2.67%,16556,111.47M
368,PBI,Pitney Bowes Inc.,725.53M,1.23%,1209024,3.27B
369,SNCY,"Sun Country Airlines Holdings, Inc.",722.09M,0.37%,1553034,1.05B
